key,lang-en,lang-zh-cn
compression_type_lossless_disabled,Lossless is not available in the following settings:\n- Bayer JXL\nAvailable in the following settings:\n- Debayered JXL\n- JPEG,无损压缩在以下参数搭配中不可用：\n- 拜耳 JXL\n以下参数搭配中可用：\n- 已解拜耳的 JXL\n- JPEG
compression_type_lossy_disabled,Lossy is not available in the following setting:\n - JPEG\nAvailable in the following settings:\n- JXL,有损压缩在以下参数搭配中不可用：\n- JPEG\n以下参数搭配中可用：\n- JXL
compression_algorithm_jpeg_disabled,JPEG compression is not available in the following settings:\n- Lossy\nAvailable in the following settings:\n- Lossless,JPEG压缩在以下参数搭配中不可用：\n- 有损\n以下参数搭配中可用：\n- 无损
debayer_disabled,Debayer is not available in the following settings:\n- Lossless JXL\nAvailable in the following settings:\n- Uncompressed\n- JPEG\n- Lossy JXL,解拜耳在以下参数搭配中不可用：\n- 无损 JXL\n以下参数搭配中可用：\n- 未压缩\n- JPEG\n- 有损 JXL
preset_label,Preset,预设
preset_custom,Custom,自定义
preset_dialog_add_preset_label,Add Preset,添加预设
preset_dialog_discard_button,Discard,取消
preset_dialog_save_button,Save,保存
include_subfolder_label,Include images contained within subfolders,包含子文件夹中的图像
skip_existing_label,Skip source image if destination image already exists,如果目标文件已存在则跳过源文件
same_as_input_label,Save in same location,保存在相同位置
output_name_format_label,Output name,输出文件名
output_name_format_inserter_label,Insert ...,填入...
output_extension_label,Extension case,扩展名大小写
original_file_name,Original file name,原始文件名
original_file_name_lower_case,Original file name in lowercase,原始文件名小写
output_name_format_inserter_dropdown_3,"Mth. DD, YYYY HH-MM-SS","YYYY年MM月DD日, 时-分-秒"
output_name_format_inserter_dropdown_3_key,"%b. %d, %Y %H-%M-%S","%Y年%-m月%d日 %H-%M-%S"
year,Year,年
output_name_format_inserter_dropdown_5,Month (ex. January),月（例：January）
output_name_format_inserter_dropdown_6,Month (ex. 01),月（例：01）
output_name_format_inserter_dropdown_7,Month (ex. 1),月（例：1）
output_name_format_inserter_dropdown_8,Mth (ex. Jan),月（例：Jan）
day,Day,日
hour,Hour,时
minute,Minute,分
second,Second,秒
output_name_format_inserter_dropdown_13,Serial number counting from 100, fill to 4 digits,从100开始的序列数字，前面填充慢4位0
log_error_warning_description,"Log error and warning produced by Adobe DNG Converter to the below area.\nRecommend to enable only when conversion is not success.\nADC produces a lot of GPU warnings that doesn't matter.\nBecause converting DNG doesn't use GPU. ",将Adobe DNG转换器产生的错误(Error)和警告(Warning)记录到下方文本框，建议仅在转换失败时开启。\nADC会产生很多与GPU有关的警告，但ADC并不会使用GPU进行转换。
log_error_warning_description_windows_specific,"\nADC also produces a lot of errors, but the dng is converted as normal, reason is unknown for now",\nADC也会产生很多错误(Error)，但DNG会正常转换，具体原因未知。
log_error,Log Error,记录错误
log_warning,Log Warning,记录警告
darkmode_description,"Dark/Light mode selection",深色/浅色模式选择
